ID,Showing,"Project serial no.
(EU or national)",English project title,National project title,"Free info, tags, etc",Theme Innovation Area,Portfolios,Zones,Layers,Innovation levers,OPSI,Number of national partners,Number of international partners,Coordinating partner ID,Optional partner ID list (semicolon separated),Prep Start Date,Prep End Date,Prep co-financing by your organisation,Prep resources contributed partners,Optional Prep description,Recieved OR Potential,Start Date,End Date,Funding (national or €),Currency code,Co-financing by your organisation,"Other co-financing amount (currency as col. Q, left)",Optional Co financing partner ID/IDs (Semicolon separated),National Project Abstract,English Project Abstract,Funding Organisation Id,National main funding organisation name,English main funding organisation name, Comment for memory
1,1,2019-02703_Vinnova,Future by Lund 3.0,Future by Lund 3.0 Vinnova,,Base and/or generic,Base and/or generic,Yellow-A,Layer 1,,,1,,50,,,,,,,R,2019-09-02,2022-12-31,6650000,SEK,,,,"Syfte och mål: Future by Lund skall vara en arena för innovation, visionsskapande, samverkan och konkret utveckling. Plattformen adresserar angelägna utmaningar inom Smarta och Hållbara städer, genom att koppla hållbarhet och utveckling till de styrkeområden där Lunds näringsliv och kunskapsbas kan göra skillnad och sticka ut nationellt och internationellt. Future by Lund riktar sig till offentlig förvaltning, företag och organisationer som ser utmaningar och möjligheter kopplade till staden och med ambition att öka sin innovationsförmåga genom att samskapa och delta i communities. Förväntade effekter och resultat: Ökad strategisk och operativ kapacitet i mellanrummet mellan aktörer. Stärkt förmåga att skapa gemensamma mål, riktning och visioner/ scenario Ökad förståelse för hur värde skapas genom transparens och öppenhet Ökad förståelse för gemensamt lärande och kapacitetsbyggande (inkl branschöverskridande systemtänkande) Förmågan att gemensamt testa, implementera och duplicera/ skala upp har ökat Omvärldsuppkoppling och internationalisering har ökat Innovationscommunity FBL har vuxit och omfattar såväl stora organisationer som SME. Upplägg och genomförande: Partnerskapet vill utveckla sitt eget och plattformens innovationsarbete genom att: Skapa kopplingar mellan samhälle, trender, behov & teknik. Driva innovationsarbete & innovationsfrågor i samverkan. Samskapa och delta i communities för förändring, för att möta gränsöverskridande utmaningar (2030 målen) Bygga synlighet, uppmärksamhet och varumärkeskontexter för innovationsarbete. Initiera / Bygga samverkan / Skapa resurser tillsammans med andra aktör. Prova aktiviteter, frågor och skapa en yta där man kan experimentera, testa,våga göra fel såväl som att lyckas.","Purpose and goal: Future by Lund is an arena for innovation, vision creation, collaboration and concrete development. The platform addresses important challenges related to Smart and Sustainable cities, within Lund´s business and knowledge areas of strength. We are aiming to make a difference and stand out nationally and internationally. Future by Lund involves partners from public administration, companies and organizations that see challenges and opportunities linked to the city and with the ambition to increase their innovation capacity through collaborative and participatory approaches. Expected results and effects: Increase strategic & operational capacity in the space between actors in Future by Lunds. Strengthened ability to create common goals, direction and visions / scenarios Increased understanding of how value is created through transparency and openness Increased understanding of shared learning and capacity building (including cross-sectoral) Increased ability to test, implement, duplicate / scale up. Increased internationalization and international connections The innovation community FBL has grown to include both large organizations and SMEs Approach and implementation: Partners will develop their own and joint innovation work by: Connecting society, trends, needs & technology. Driving innovation work & innovation challenges in collaboration. Co-create and participate in communities to build ability for cross-border challenges (2030 goals) Build visibility, attention and brand contexts for innovation work. Initiate / Build collaboration / Create resources together with other actors. Launch try-out activities, formulate questions and create contexts where you can experiment, test, dare to make fail as well as succeed.",202100-5216,Vinnova,The Swedish innovation agency VINNOVA,
2,1,001_LK,Future by Lund 4.0 & ID,Future by Lund 4.0 samt ID,,Base and/or generic,Base and/or generic,Yellow-A,Layer 1,,,2,,FBL,,,,,,,R,2023-01-01,2025-12-31,12000000,SEK,,,,,,,,,
3,1,STYR_2020_527,Collaboration supporting action,Samverkansfrämjande åtgärder,,Creatives and Changemakers,KIC CCSI,Yellow-A,Layer 1,,,1,,LU,,,,,,,R,2020-01-01,2020-12-31,350000,SEK,,,,KKN KIC,,202100-3211,Lunds Univeristet,Lund University,
4,1,STYR_2021_1287,Research funding for collaboration and cooperation,Forskningsmedel för samverkan och samarbeten,,Creatives and Changemakers,KIC CCSI,Yellow-A,Layer 1,,,1,,LU,,,,,,,R,2021-01-01,2021-10-31,350000,SEK,,,,KKN KIC,,202100-3211,Lunds Univeristet,Lund University,
5,1,STYR_2021_572,Research funding for collaboration and cooperation,Forskningsmedel för samverkan och samarbeten,,Creatives and Changemakers,KIC CCSI,Yellow-A,Layer 1,,,1,,LU,,,,,,,R,2021-01-01,2021-12-31,350000,SEK,,,,KKN KIC,,202100-3211,Lunds Univeristet,Lund University,
6,1,STYR_2021_2421,Strategic research funding,Strategiska forskningsmedel,,Creatives and Changemakers,KIC CCSI,Yellow-A,Layer 1,,,1,,LU,,,,,,,R,2021-11-01,2022-08-30,1500000,SEK,,,,KKN KIC,,202100-3211,Lunds Univeristet,Lund University,
7,1,STYR_2922_846,Strategic research funding,Strategiska forskningsmedel,,Creatives and Changemakers,KIC CCSI,Yellow-A,Layer 1,,,1,,LU,,,,,,,R,2022-01-01,2022-12-31,350000,SEK,,,,KKN KIC,,202100-3211,Lunds Univeristet,Lund University,
8,1,Erasmus_blueprint,,Cyanotype,,Creatives and Changemakers,Fashion&,Green-B,Layer 3,,,19,,UnA Utr,,,,,,,R,2022-09-01,2026-08-30,1700000,SEK,,,,,,,Erasmus blueprint,Erasmus blueprint,
9,1,001_Tillväxtverket,xPlot - NEST,xPlot - NEST,NEST,Creatives and Changemakers,Fashion&,Green-B,Layer 3,,,4,0,Borås Inc,"Sting; FBL; VGR; Expression,Xplot",,,,,,R,2022-01-01,2025-07-30,200000,SEK,50000,100000,,,,,Tillväxtverket,Tillväxtverket,
10,1,20307180_Tillväxtverket,,Make Space for Verkstad,,Creatives and Changemakers,Fashion&,Yellow-A,Layer 2,,,2,,LU,,,,,,,R,2021-06-01,2022-06-30,400000,SEK,,100000,,,,,Tillväxtverket,Tillväxtverket,
